RepRapFirmware height map file v2 generated at 2023-04-03 17:53, min error -0.246, max error 0.086, mean -0.010, deviation 0.094
axis0,axis1,min0,max0,min1,max1,radius,spacing0,spacing1,num0,num1
X,Y,10.00,200.00,20.00,235.00,-1.00,47.50,53.74,5,5
 -0.123, -0.148, -0.170, -0.211, -0.246
 -0.028, -0.014, -0.008, -0.015, -0.033
  0.065,  0.074,  0.054,  0.029, -0.003
  0.065,  0.067,  0.076,  0.075,  0.077
  0.086,  0.047,  0.022,  0.007,  0.000
